Index,Factory name,country,bws_score,bwd_score,cfr_score,drr_score,Factory Type
1,"ACE Accessories Co., Ltd.",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS
2,"Acode Sporting Goods Co., Ltd.",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
3,ADORA FOOTWEAR LIMITED,Vietnam,1.431227899,0.765869105,4.040222523,3.469697061,FINISHED GOODS
4,"All Wells International Co., Ltd.",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
5,ANHUI COSMO SPORTING GOODS COMPANY LIMITED,China,3.726924051,1.784814593,0.0,3.504092918,FINISHED GOODS
6,"Annora Vietnam  Footwear Co.,Ltd",Vietnam,4.466211878,2.361467929,4.001022334,2.743402508,FINISHED GOODS
7,"Asia Caps (Thailand) Co., Ltd.",Thailand,3.109756422,1.63008337,2.129345161,3.069143173,FINISHED GOODS
8,ASIATAN (CHINA),China,0.0,0.082410582,4.017069776,2.662134378,MATERIALS
9,AURORA VIETNAM INDUSTRIAL FOOTWEAR CO. LTD,Vietnam,1.888423765,1.025047202,4.014458347,2.543822176,FINISHED GOODS
10,AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD.,China,0.0,0.082410582,4.004380635,2.570440387,MATERIALS
11,"Avery Dennison (Suzhou) Co.,Ltd ",China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
12,Avery Dennison RIS Vietnam Co. Ltd.,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
13,BAIKSAN (CHINA),China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
14,BAIKSAN (TR1) (INDONESIA),Indonesia,3.18229402,1.439472807,2.56656962,3.594050966,MATERIALS
15,BAIKSAN (VIETNAM),Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
16,Beijing Our Clothing and Apparel Ltd,China,4.469735969,3.42750976,0.0,3.279120425,MATERIALS
17,BLAO SPORT COMPANY LIMITED,Vietnam,1.897168508,1.036469531,4.002309761,2.826426755,FINISHED GOODS
18,"Boling Digital (Xiamen) Technology Co.,Ltd",China,1.757077517,1.031527928,3.041224033,2.629152303,FINISHED GOODS
19,"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
20,Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,FINISHED GOODS
21,BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED,Vietnam,1.864040593,1.029894649,4.031216344,3.842421362,FINISHED GOODS
22,Business Location of MDK Embroideries Garments Company Limited - Binh Chanh Factory,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
23,"CAN SPORTS VIETNAM CO., LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
24,Cassia Garment Company Limited,Thailand,3.109756422,1.63008337,2.129345161,3.069143173,FINISHED GOODS
25,"CCH TOP VN CO., LTD.",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
26,CHANG SHIN DONG NAI COMPANY LTD,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
27,CHANG SHIN INDONESIA,Indonesia,3.313764823,1.530841604,2.559099762,3.641593757,FINISHED GOODS
28,"CHANG SHIN VIETNAM CO., LTD",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
29,"CHANG SHIN VIETNAM COMPANY, LTD.",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
30,Chang Tai Song Lin Woven Belt Co. LTD,China,2.252264492,1.175049606,3.102605894,2.456315178,MATERIALS
31,"Chang Wong Industrial Co., Ltd.",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS
32,"Changzhou Qingqing Knitted Textile Co., Ltd.",China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
33,"Cheng Horng Industrial Co., Ltd.",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
34,CHI YANG RIBBON,Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS - COMPONENTS
35,"CHUAN CHENG HAT CO., LTD.",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS
36,"Chun Yu Ribbon ENT Co., Ltd.",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
37,"Chuzhou Korrun Future Luggage Products Co., Ltd",China,0.419974132,0.366310339,0.0,3.512927556,FINISHED GOODS
38,"Colltex Garment Mfy Co., Ltd.(VN)",Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,FINISHED GOODS
