the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,pfaf_id,gid_1,gid_0,name_0,name_1,bau30_ba_x_l,bau50_ba_x_l,bau80_ba_x_l,opt30_ba_x_l,opt50_ba_x_l,opt80_ba_x_l,pes30_ba_x_l,pes50_ba_x_l,pes80_ba_x_l,bau30_ww_x_l,bau50_ww_x_l,bau80_ww_x_l,opt30_ww_x_l,opt50_ww_x_l,opt80_ww_x_l,pes30_ww_x_l,pes50_ww_x_l,pes80_ww_x_l,bau30_ws_x_l,bau50_ws_x_l,bau80_ws_x_l,opt30_ws_x_l,opt50_ws_x_l,opt80_ws_x_l,pes30_ws_x_l,pes50_ws_x_l,pes80_ws_x_l,bau30_wd_x_l,bau50_wd_x_l,bau80_wd_x_l,opt30_wd_x_l,opt50_wd_x_l,opt80_wd_x_l,pes30_wd_x_l,pes50_wd_x_l,pes80_wd_x_l,bau30_iv_x_l,bau50_iv_x_l,bau80_iv_x_l,opt30_iv_x_l,opt50_iv_x_l,opt80_iv_x_l,pes30_iv_x_l,pes50_iv_x_l,pes80_iv_x_l,bau30_sv_x_l,bau50_sv_x_l,bau80_sv_x_l,opt30_sv_x_l,opt50_sv_x_l,opt80_sv_x_l,pes30_sv_x_l,pes50_sv_x_l,pes80_sv_x_l,bau30_ba_x_r,bau50_ba_x_r,bau80_ba_x_r,opt30_ba_x_r,opt50_ba_x_r,opt80_ba_x_r,pes30_ba_x_r,pes50_ba_x_r,pes80_ba_x_r,bau30_ww_x_r,bau50_ww_x_r,bau80_ww_x_r,opt30_ww_x_r,opt50_ww_x_r,opt80_ww_x_r,pes30_ww_x_r,pes50_ww_x_r,pes80_ww_x_r,bau30_ws_x_r,bau50_ws_x_r,bau80_ws_x_r,opt30_ws_x_r,opt50_ws_x_r,opt80_ws_x_r,pes30_ws_x_r,pes50_ws_x_r,pes80_ws_x_r,bau30_wd_x_r,bau50_wd_x_r,bau80_wd_x_r,opt30_wd_x_r,opt50_wd_x_r,opt80_wd_x_r,pes30_wd_x_r,pes50_wd_x_r,pes80_wd_x_r,bau30_iv_x_r,bau50_iv_x_r,bau80_iv_x_r,opt30_iv_x_r,opt50_iv_x_r,opt80_iv_x_r,pes30_iv_x_r,pes50_iv_x_r,pes80_iv_x_r,bau30_sv_x_r,bau50_sv_x_r,bau80_sv_x_r,opt30_sv_x_r,opt50_sv_x_r,opt80_sv_x_r,pes30_sv_x_r,pes50_sv_x_r,pes80_sv_x_r
0101000020E6100000778368AD68AC5A40C9AA083719052640,1,"KURIM VIETNAM CO., LTD",_,-,11.009958,106.693889,"Viet Nam, Coast",Song Be Delta,,441060,VNM.9_1,VNM,Vietnam,Bình Dương,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),191.472587569638,191.270633599293,193.712410869715,175.383365102921,193.258565226046,188.290273936991,190.862694271925,194.256490568125,216.649859393601,11.5195280444219,13.6941060658207,14.8027945989539,11.4561733680947,12.771002943248,12.4291818952522,11.4052316648358,12.9873517554277,12.5065422282859,0.198841020935315,0.235539570188838,0.24469944713149,0.195840802741302,0.228526254081706,0.217933707226899,0.186141239316604,0.212364460455666,0.219048610197864,0.103124516420809,0.131789572274268,0.140818274237525,0.101535386853461,0.124627102987424,0.118242669220548,0.0974686363274183,0.116390478584957,0.11854840830466,0.396411221082016,0.43083903821712,0.40803417248342,0.413431929555783,0.418644606804108,0.375968741957106,0.423772609504879,0.412287930677973,0.399104640461689,0.810473913621261,0.795461320134088,0.819896698520711,0.779411556603132,0.795013199269855,0.821777627769358,0.792910674665875,0.813426263524199,0.815844706469019
0101000020E6100000168A743FA7875A40E90B21E7FD273540,2,"HESHENG CO., LTD.",_,-,21.156218,106.119583,Hong (Red River),Cau,,436708,VNM.5_1,VNM,Vietnam,Bắc Ninh,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),High (40-80%),High (40-80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),118.576756648929,120.612949809123,122.126611276053,119.575133058076,123.266556126005,129.626166007873,118.964244947941,126.349801078334,118.367246169841,33.7739994383092,36.2893425395707,37.1091712574593,33.4919148803731,35.1432201288855,34.1976260664726,33.946302624031,35.9636602321614,34.5770594453865,0.421619942547381,0.415200034555168,0.411321953768172,0.361735102786248,0.373226323386183,0.33712701795607,0.434087001434948,0.401959140412124,0.433439294440698,0.183900181635569,0.206522386196131,0.20907490165382,0.153190254367295,0.181109937168193,0.16244235359964,0.185599757441183,0.179012150577402,0.217587403266035,0.434114857185434,0.465510277158943,0.456168456814421,0.474366182000681,0.471842579947926,0.473497160363471,0.498375618567416,0.531089333462543,0.544342655993595,0.869813387942102,0.857109099163154,0.832897154716167,0.82884796269696,0.825822538473954,0.814595961541862,0.826458901950254,0.820982661870558,0.891746350797258
0101000020E610000071C971A774105B40E8C1DD59BB9D2F40,3,"Hi-Tech Viet Nam Apparel Co.,Ltd.",_,-,15.80807,108.25712,"Viet Nam, Coast",Buong,,441054,VNM.47_1,VNM,Vietnam,Quảng Nam,300-1000 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,300-1000 cm,300-1000 cm,100-300 cm,100-300 cm,3-10 cm,3-10 cm,10-30 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Low (<10%),Low (<10%),Low-medium (10-20%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),305.320742843235,287.258290513325,277.350718899119,285.453560152058,294.52034126389,300.273481117809,302.402933395449,299.585547550955,297.570254333877,9.28243864667144,9.91771851201713,10.312821489296,9.32562557760284,9.72502863739017,9.72907751295083,9.2902614405544,9.72310457184986,9.84397338282516,0.0873195719114108,0.0992704198565703,0.101579167025165,0.0960148162216547,0.0926618338234191,0.0900874887003406,0.0930540091147869,0.0955463705665093,0.0919500720840258,0.0237201128867487,0.0285322609124494,0.0301554645835319,0.0263496097465165,0.0270824061634297,0.0259377562349015,0.0247560079898363,0.027091479969326,0.0258623154622722,0.321748899447606,0.35892649989629,0.370554338935287,0.342326701492808,0.309294462949181,0.34014881132105,0.291185290987913,0.34631103705191,0.363884880772854,0.43091481890166,0.461100538009694,0.453051156168694,0.434654876388726,0.445910084321736,0.441635423879991,0.447351835389955,0.454145977298398,0.448696350654518
0101000020E6100000560F98874CD85A401BDA006C40943040,4,BLAO SPORT COMPANY LIMITED,_,-,16.579108,107.379671,"Viet Nam, Coast",Vietnam Coast 2,,441053,VNM.54_1,VNM,Vietnam,Thừa Thiên Huế,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),442.709641314036,428.761420246596,403.627393403397,413.149651335897,425.812212020722,452.326842264415,440.003063299539,440.968649863791,448.637299288202,29.4458547106965,30.3724363210793,30.9237358899489,29.9999098756029,30.7966181717825,30.5113019910662,30.3347153761001,30.3819326384377,30.8803378315746,0.241290459348478,0.257947242625444,0.265245475184459,0.27178801022149,0.260653775333133,0.248063048617371,0.258765711619754,0.258088449279827,0.262578202613802,0.062300153021659,0.0712474535996077,0.0756014541224779,0.0658827415410848,0.0701487254880901,0.0648200347228201,0.0619383700257567,0.0671299710828773,0.069264199327257,0.398464809916722,0.458105077478973,0.443493093154776,0.436141178353366,0.428047479570872,0.447667045716102,0.431778426411528,0.480366475920451,0.481865028032438,0.653321476537826,0.6938905974648,0.694467992590704,0.672181804658415,0.668253122873764,0.673397231872865,0.671034789830325,0.699495440527181,0.688268916170617
0101000020E6100000DAA84E07B27A5A4090DD054A0A9C3540,5,TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,_,-,21.609532,105.917116,Hong (Red River),Cau,,436708,VNM.56_1,VNM,Vietnam,Thái Nguyên,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),High (40-80%),High (40-80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),118.576756648929,120.612949809123,122.126611276053,119.575133058076,123.266556126005,129.626166007873,118.964244947941,126.349801078334,118.367246169841,33.7739994383092,36.2893425395707,37.1091712574593,33.4919148803731,35.1432201288855,34.1976260664726,33.946302624031,35.9636602321614,34.5770594453865,0.421619942547381,0.415200034555168,0.411321953768172,0.361735102786248,0.373226323386183,0.33712701795607,0.434087001434948,0.401959140412124,0.433439294440698,0.183900181635569,0.206522386196131,0.20907490165382,0.153190254367295,0.181109937168193,0.16244235359964,0.185599757441183,0.179012150577402,0.217587403266035,0.434114857185434,0.465510277158943,0.456168456814421,0.474366182000681,0.471842579947926,0.473497160363471,0.498375618567416,0.531089333462543,0.544342655993595,0.869813387942102,0.857109099163154,0.832897154716167,0.82884796269696,0.825822538473954,0.814595961541862,0.826458901950254,0.820982661870558,0.891746350797258
0101000020E6100000E0B9F770C9CD5A400C0742B280292540,6,ELITE APPARATECH LLC,_,-,10.58106,107.21542,"Viet Nam, Coast",Vietnam Coast 6,,441059,VNM.7_1,VNM,Vietnam,Bà Rịa - Vũng Tàu,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),440.690064063848,430.854584239849,430.247990274943,406.174849496234,439.850451725549,436.043825648212,448.846476838187,439.840576118399,496.657630667412,14.7459738388278,15.7490811072175,16.1345471328208,14.8488943160026,15.1742074606144,14.8614752216996,14.6464890419229,15.2204458947663,14.8563646433769,0.132892947842831,0.150592651890287,0.159797449045152,0.141438532532545,0.141832203542976,0.14959272071567,0.130178394240863,0.139118614362374,0.134485441084554,0.0469660527666629,0.0482411195104557,0.0548741748548688,0.0469890438041055,0.0505585697048414,0.0482561223426123,0.0440896593607237,0.0471091159413619,0.0486306756559257,0.381081385124612,0.414836950163613,0.389194828250284,0.376345100109347,0.373587010922728,0.355980631416236,0.41018191038152,0.383923772906068,0.385487963194417,0.690797707979622,0.712501096988751,0.756954300202015,0.682966535024237,0.692895970703941,0.70660039631898,0.702922252480893,0.728624783458398,0.730185797890589
0101000020E6100000D73A27AC43A85A4090FC1C7AE6482640,7,"SNP CO.,LTD.",_,-,11.1423834,106.6291304,"Viet Nam, Coast",Saigon,,441060,VNM.9_1,VNM,Vietnam,Bình Dương,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),191.472587569638,191.270633599293,193.712410869715,175.383365102921,193.258565226046,188.290273936991,190.862694271925,194.256490568125,216.649859393601,11.5195280444219,13.6941060658207,14.8027945989539,11.4561733680947,12.771002943248,12.4291818952522,11.4052316648358,12.9873517554277,12.5065422282859,0.198841020935315,0.235539570188838,0.24469944713149,0.195840802741302,0.228526254081706,0.217933707226899,0.186141239316604,0.212364460455666,0.219048610197864,0.103124516420809,0.131789572274268,0.140818274237525,0.101535386853461,0.124627102987424,0.118242669220548,0.0974686363274183,0.116390478584957,0.11854840830466,0.396411221082016,0.43083903821712,0.40803417248342,0.413431929555783,0.418644606804108,0.375968741957106,0.423772609504879,0.412287930677973,0.399104640461689,0.810473913621261,0.795461320134088,0.819896698520711,0.779411556603132,0.795013199269855,0.821777627769358,0.792910674665875,0.813426263524199,0.815844706469019
0101000020E610000086877A0B35AB5A409549682673972540,8,MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,_,-,10.7958004,106.6751126,"Viet Nam, Coast",Saigon,,441060,VNM.25_1,VNM,Vietnam,Hồ Chí Minh,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),191.472587569638,191.270633599293,193.712410869715,175.383365102921,193.258565226046,188.290273936991,190.862694271925,194.256490568125,216.649859393601,11.5195280444219,13.6941060658207,14.8027945989539,11.4561733680947,12.771002943248,12.4291818952522,11.4052316648358,12.9873517554277,12.5065422282859,0.198841020935315,0.235539570188838,0.24469944713149,0.195840802741302,0.228526254081706,0.217933707226899,0.186141239316604,0.212364460455666,0.219048610197864,0.103124516420809,0.131789572274268,0.140818274237525,0.101535386853461,0.124627102987424,0.118242669220548,0.0974686363274183,0.116390478584957,0.11854840830466,0.396411221082016,0.43083903821712,0.40803417248342,0.413431929555783,0.418644606804108,0.375968741957106,0.423772609504879,0.412287930677973,0.399104640461689,0.810473913621261,0.795461320134088,0.819896698520711,0.779411556603132,0.795013199269855,0.821777627769358,0.792910674665875,0.813426263524199,0.815844706469019
0101000020E6100000EB538EC9E21A5B40BA8784EFFD152F40,9,Germton Development Company Limited,_,-,15.542953,108.420092,"Viet Nam, Coast",Buong,,441055,VNM.47_1,VNM,Vietnam,Quảng Nam,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Medium-high (20-40%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),271.07165856969,277.114806423382,244.198699221305,267.99509565866,281.597816155819,268.599461823006,288.064397541447,278.11602153027,277.054406857426,37.6504307748615,40.0536006374804,41.8636790893018,37.8264425850354,39.2170204843295,39.095498852364,37.7742803247405,38.8328261095145,40.1345234682872,0.398461002289713,0.427582385926522,0.464892361244234,0.427251191568056,0.423461931985578,0.407330295260677,0.3939360470082,0.429926030356457,0.40254838898161,0.132508624755385,0.147788674246309,0.164280648260481,0.138446435395791,0.139265786380502,0.139029185232599,0.124727715566963,0.140541387404034,0.136144877527688,0.408244629616645,0.440474616148765,0.449361414769944,0.414952379222425,0.3814537880089,0.420353025397373,0.354305443063721,0.4328605144489,0.465796876117888,0.634169780901931,0.672836189575455,0.647575625789474,0.618485171671411,0.651978459797731,0.651508263059888,0.664180363031763,0.656257590490303,0.672833900933762
0101000020E6100000EEB5A0F7C67C5A4008008E3D7B462340,10,TUNTEX SOC TRANG VIETNAM CO.LTD,_,-,9.637659,105.949644,Mekong,Delta,,443020,VNM.51_1,VNM,Vietnam,Sóc Trăng,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<0.25),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),2969.94424958655,2795.97178559101,2960.13586430377,2782.85380971687,2959.51399933719,3028.16245918529,2941.74302116438,2960.3469565734,2980.97935286769,80.822575984577,80.8299392053239,82.9267527276662,80.2321150304835,80.6905900022037,80.704866806827,80.5332950984786,81.3447457551344,82.3999052886913,0.163794176442429,0.169136766233748,0.158159322284062,0.16169794397019,0.151539005798982,0.152913164361496,0.149711497321424,0.167453411123248,0.170055843666377,0.0491897628099343,0.0519066049656934,0.0493647469090137,0.0496471766502401,0.0458296025386016,0.0473732361822377,0.0460494687257048,0.0517313658805555,0.0560954140426832,0.245912654392165,0.278431380211545,0.272713059392252,0.247863236753707,0.249111184288849,0.235284789178705,0.247572529481615,0.264155313482386,0.285489492261824,0.622614572407414,0.62954623433614,0.650862478800187,0.612879359033799,0.619149998025147,0.632747915448688,0.610001859206354,0.626212603894699,0.673526535487397
