Factory Name,Factory Type
"KURIM VIETNAM CO., LTD",MATERIALS
"HESHENG CO., LTD.",FINISHED GOODS
"Hi-Tech Viet Nam Apparel Co.,Ltd.",FINISHED GOODS
B'LAO SPORT COMPANY LIMITED,FINISHED GOODS
TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,FINISHED GOODS
ELITE APPARATECH LLC,FINISHED GOODS
"SNP CO.,LTD.",FINISHED GOODS
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS
Germton Development Company Limited,FINISHED GOODS
TUNTEX SOC TRANG VIETNAM CO.LTD,FINISHED GOODS
"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II",FINISHED GOODS
VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS
"Haivina Co., Ltd.",FINISHED GOODS
"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",FINISHED GOODS
"FASHION GARMENTS 2 CO., LTD",FINISHED GOODS
"YKK VIETNAM CO., LTD",MATERIALS
"Pro Kingtex Vietnam Co., Ltd",FINISHED GOODS
TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2,FINISHED GOODS
TKG ECO MATERIAL SYNTHETIC (VIETNAM),MATERIALS
"LI CHENG ENTERPRISE VIET NAM CO., LTD",FINISHED GOODS - COMPONENTS
SAMBU FINE CHEMICAL CO LTD (VIETNAM),FINISHED GOODS - COMPONENTS
Regent Garment Factory Limited - Business location- Regent 2,FINISHED GOODS
"JOOWON VINA CO., LTD.",MATERIALS
ADORA FOOTWEAR LIMITED,FINISHED GOODS
TNG Investment and Trading JSC - Dai Tu Garment Branch,FINISHED GOODS
WEILINA VIET NAM FOOTWEAR COMPANY LIMITED,FINISHED GOODS
SEYANG CORPORATION VIETNAM,FINISHED GOODS
"All Wells International Co., Ltd.",FINISHED GOODS
Germton Industrial Company Ltd.,FINISHED GOODS
Fashion Garments Company Limited,FINISHED GOODS
Tiong Liong Vietnam (VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED),MATERIALS
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,FINISHED GOODS
"Yegin Industry (Vietnam) Co., Ltd",FINISHED GOODS
Vietnam Pou Sung Co. Ltd.,FINISHED GOODS
"E-Top (Vietnam) Co.,Ltd",FINISHED GOODS
"FREETREND INDUSTRIAL (VIETNAM) CO., LTD",FINISHED GOODS
"DONGJIN TEXTILE VINA Co., Ltd ",MATERIALS
PAIHO (VIETNAM),MATERIALS
BAIKSAN (VIETNAM),MATERIALS
"FORMOSA TAFFETA DONG NAI CO., LTD.",MATERIALS
BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED,FINISHED GOODS
"DONG SHIN VINA CO.,LTD",FINISHED GOODS
"VINH LONG FOOTWEAR CO., LTD.",FINISHED GOODS
CONG TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS
"Fashion Garments 2 Co., Ltd - Xuan Tay",FINISHED GOODS
"Vung Tau Orient Co., Ltd - unit 02",FINISHED GOODS
Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,FINISHED GOODS
"Worldon Vietnam Co., Ltd.",FINISHED GOODS
"Thuan Phuong Embroideries Garments Co., Ltd.",FINISHED GOODS
NV Apparel Company Limited,FINISHED GOODS
"ECLAT FABRIC CO., LTD.",MATERIALS
"COSMO VIETNAM CO.,LTD",MATERIALS
UN-AVAILABLE CO. LTD,FINISHED GOODS
MAPLE COMPANY LIMITED,FINISHED GOODS
"LUCKYTEX SOC TRANG VIETNAM CO., LTD",FINISHED GOODS
TKG TAEKWNG BINH PHUOC COMPANY LIMITED,FINISHED GOODS - COMPONENTS
YOUNGIL (VIETNAM),MATERIALS
"Song Hong Garment JSC - Nghia Hung Branch: Factory 15,16,17,18",FINISHED GOODS
Maxturn Apparel Company Limited,FINISHED GOODS
