the_geom,points_id,location_name,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,aq30_id,pfaf_id,gid_1,aqid,gid_0,name_0,name_1,area_km2,bws_raw,bws_score,bws_cat,bws_label,bwd_raw,bwd_score,bwd_cat,bwd_label,cfr_raw,cfr_score,cfr_cat,cfr_label,drr_raw,drr_score,drr_cat,drr_label
0101000020E61000001D514601C7735E40BEC1172653894340,86,"Dalian YKK Zipper Co.,Ltd.",39.07285,121.8090213,"Bo Hai - Korean Bay, North Coast",Dalian Wan Coast,,30758,424500,CHN.18_1,1253,CHN,China,Liaoning,20968.29338,0.951199685,4.249748237,4,Extremely High (>80%),0.423781346,2.695125385,2,Medium - High (25-50%),0.000607084,3.139211742,3,"High (3 in 10,000 to 2 in 1,000)",0.625940207,3.129701035,3,Medium - High (0.6-0.8)
0101000020E61000001BA034D428255D401FD8F15F20F24340,40,Beijing Our Clothing and Apparel Ltd,39.891613,116.580617,"Ziya He, Interior",Bai He,,30949,431622,CHN.2_1,1412,CHN,China,Beijing,2331.623946,1.107884799,4.469735969,4,Extremely High (>80%),0.60687744,3.42750976,3,High (50-75%),0,0,0,"Low (0 to 9 in 1,000,000)",0.655824085,3.279120425,3,Medium - High (0.6-0.8)
0101000020E61000006666666666665B409A99999999994140,83,"Shaanxi White River Apparel CO., LTD.",35.2,109.6,Huang He,Luo He 1,,31157,432220,CHN.22_1,1094,CHN,China,Shaanxi,24084.80172,0.630934556,3.657490368,3,High (40-80%),0.359149922,2.436599687,2,Medium - High (25-50%),0,0,0,"Low (0 to 9 in 1,000,000)",0.600992096,3.00496048,3,Medium - High (0.6-0.8)
0101000020E61000008B1A4CC3F0B15B40713D0AD7A3904140,119,"Huajin Textile Printing &Dyeing Co.,LTD",35.13,110.78032,Huang He,Sushui He,,31202,432300,CHN.25_1,1539,CHN,China,Shanxi,5454.421088,0.133965998,1.421866874,1,Low - Medium (10-20%),0.054338624,1.021693118,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.656022173,3.280110863,3,Medium - High (0.6-0.8)
0101000020E6100000232F6B62810C5A40BC22F8DF4AEE4140,125,"Yichun Yisen Industry Co., Ltd",35.86166,104.195397,Huang He,Huang He 8,,31361,432790,CHN.5_1,1094,CHN,China,Gansu,15001.04734,0.066335494,0.407852924,0,Low (<10%),0.033346388,0.666927762,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.665567621,3.327838104,3,Medium - High (0.6-0.8)
0101000020E6100000232F6B62810C5A40BC22F8DF4AEE4140,103,"Eagle Nice (Yifeng) Garments Co., Ltd",35.86166,104.195397,Huang He,Huang He 8,,31361,432790,CHN.5_1,1094,CHN,China,Gansu,15001.04734,0.066335494,0.407852924,0,Low (<10%),0.033346388,0.666927762,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.665567621,3.327838104,3,Medium - High (0.6-0.8)
0101000020E6100000232F6B62810C5A40BC22F8DF4AEE4140,61,"United Creation Optical Technology Co., Ltd",35.86166,104.195397,Huang He,Huang He 8,,31361,432790,CHN.5_1,1094,CHN,China,Gansu,15001.04734,0.066335494,0.407852924,0,Low (<10%),0.033346388,0.666927762,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.665567621,3.327838104,3,Medium - High (0.6-0.8)
0101000020E6100000232F6B62810C5A40BC22F8DF4AEE4140,51,ShangGao Yisen Industry Co. Ltd.,35.86166,104.195397,Huang He,Huang He 8,,31361,432790,CHN.5_1,1094,CHN,China,Gansu,15001.04734,0.066335494,0.407852924,0,Low (<10%),0.033346388,0.666927762,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.665567621,3.327838104,3,Medium - High (0.6-0.8)
0101000020E6100000FC5069C4CCD85D40AAEFFCA204334240,75,"Weifang Aoxiang Sports Products Co., Ltd",36.398579,119.387498,China Coast,Wei He,North China Plain Aquifer System,31466,433040,CHN.23_1,1412,CHN,China,Shandong,2381.245978,4.695090809,5,4,Extremely High (>80%),3.025364765,5,4,Extremely High (>75%),0.0000448,1.568798445,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",0.703416016,3.517080079,3,Medium - High (0.6-0.8)
0101000020E61000006D3997E2AA5C5E40889D29745EBB4240,39,"Yantai NE Apparel CO.,LTD",37.46382,121.44793,China Coast,Rongcheng Wan/Sanggou Wan / Wuleidao Wan,,31476,433053,CHN.23_1,1496,CHN,China,Shandong,14606.11683,6.9337784,5,4,Extremely High (>80%),4.198843794,5,4,Extremely High (>75%),0.000115931,2.155693913,2,"Medium - High (7 in 100,000 to 3 in 10,000)",0.700547112,3.502735562,3,Medium - High (0.6-0.8)
