id,location name,latitude (decimal degrees),longitude (decimal degrees)
1,"KURIM VIETNAM CO., LTD",11.009958,106.693889
2,"HESHENG CO., LTD.",21.156218,106.119583
3,"Hi-Tech Viet Nam Apparel Co.,Ltd.",15.80807,108.25712
4,B'LAO SPORT COMPANY LIMITED,16.579108,107.379671
5,TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,21.609532,105.917116
6,ELITE APPARATECH LLC,10.58106,107.21542
7,"SNP CO.,LTD.",11.1423834,106.6291304
8,MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,10.7958004,106.6751126
9,Germton Development Company Limited,15.542953,108.420092
10,TUNTEX SOC TRANG VIETNAM CO.LTD,9.637659,105.949644
11,"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II",10.164315,105.935052
12,VIET THINH GARMENT JOINT STOCK COMPANY,10.7833,106.6381
13,"Haivina Co., Ltd.",20.880585,106.29963
14,"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",11.274997,107.424112
15,"FASHION GARMENTS 2 CO., LTD",10.95273,106.89686
16,"YKK VIETNAM CO., LTD",10.754539,106.732113
17,"Pro Kingtex Vietnam Co., Ltd",10.74714,106.59331
18,TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2,10.94251,106.89923
19,TKG ECO MATERIAL SYNTHETIC (VIETNAM),11.131459,106.342801
20,"LI CHENG ENTERPRISE VIET NAM CO., LTD",10.7,106.95
21,SAMBU FINE CHEMICAL CO LTD (VIETNAM),15.7279718,108.3860652
22,Regent Garment Factory Limited - Business location- Regent 2,20.971692,106.374602
23,"JOOWON VINA CO., LTD.",10.742775,106.920043
24,ADORA FOOTWEAR LIMITED,20.1542,105.880111
25,TNG Investment and Trading JSC - Dai Tu Garment Branch,21.58759,105.83952
26,WEILINA VIET NAM FOOTWEAR COMPANY LIMITED,19.992886,105.610649
27,SEYANG CORPORATION VIETNAM,20.61261,105.89069
28,"All Wells International Co., Ltd.",10.606873,107.112979
29,Germton Industrial Company Ltd.,15.77537,108.33969
30,Fashion Garments Company Limited,15.62721,108.47136
31,Tiong Liong Vietnam (VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED),11.257413,106.602782
32,HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,20.63659,106.057
33,"Yegin Industry (Vietnam) Co., Ltd",10.46221,106.30428
