Factory Name,Factory Type,the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,string_id,bws_score,bws_cat,bws_label,bwd_score,bwd_cat,bwd_label,cfr_score,cfr_cat,cfr_label,drr_score,drr_cat,drr_label
"KURIM VIETNAM CO., LTD",MATERIALS,0101000020E6100000778368AD68AC5A40C9AA083719052640,1,"KURIM VIETNAM CO., LTD",_,-,11.009958,106.693889,"Viet Nam, Coast",Song Be Delta,441060-VNM.9_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"HESHENG CO., LTD.",FINISHED GOODS,0101000020E6100000168A743FA7875A40E90B21E7FD273540,2,"HESHENG CO., LTD.",_,-,21.156218,106.119583,Hong (Red River),Cau,436708-VNM.5_1-1882,2.805803426,2,Medium - High (20-40%),1.407256582,1,Low - Medium (5-25%),4.010633967,4,"Extremely High (more than 2 in 1,000)",3.189063374,3,Medium - High (0.6-0.8)
"Hi-Tech Viet Nam Apparel Co.,Ltd.",FINISHED GOODS,0101000020E610000071C971A774105B40E8C1DD59BB9D2F40,3,"Hi-Tech Viet Nam Apparel Co.,Ltd.",_,-,15.80807,108.25712,"Viet Nam, Coast",Buong,441054-VNM.47_1-1882,0.844826194,0,Low (<10%),0.47620477,0,Low (<5%),0,0,"Low (0 to 9 in 1,000,000)",2.130262904,2,Medium (0.4-0.6)
B'LAO SPORT COMPANY LIMITED,FINISHED GOODS,,,,,,,,,,,,,,,,,,,,,,
TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,FINISHED GOODS,0101000020E6100000DAA84E07B27A5A4090DD054A0A9C3540,5,TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,_,-,21.609532,105.917116,Hong (Red River),Cau,436708-VNM.56_1-1626,2.805803426,2,Medium - High (20-40%),1.407256582,1,Low - Medium (5-25%),4.010633967,4,"Extremely High (more than 2 in 1,000)",3.189063374,3,Medium - High (0.6-0.8)
ELITE APPARATECH LLC,FINISHED GOODS,0101000020E6100000E0B9F770C9CD5A400C0742B280292540,6,ELITE APPARATECH LLC,_,-,10.58106,107.21542,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.7_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
"SNP CO.,LTD.",FINISHED GOODS,0101000020E6100000D73A27AC43A85A4090FC1C7AE6482640,7,"SNP CO.,LTD.",_,-,11.1423834,106.6291304,"Viet Nam, Coast",Saigon,441060-VNM.9_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS,0101000020E610000086877A0B35AB5A409549682673972540,8,MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,_,-,10.7958004,106.6751126,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
Germton Development Company Limited,FINISHED GOODS,0101000020E6100000EB538EC9E21A5B40BA8784EFFD152F40,9,Germton Development Company Limited,_,-,15.542953,108.420092,"Viet Nam, Coast",Buong,441055-VNM.47_1-1882,3.091303255,3,High (40-80%),1.413338034,1,Low - Medium (5-25%),2.197614649,2,"Medium - High (7 in 100,000 to 3 in 10,000)",2.315745285,2,Medium (0.4-0.6)
TUNTEX SOC TRANG VIETNAM CO.LTD,FINISHED GOODS,0101000020E6100000EEB5A0F7C67C5A4008008E3D7B462340,10,TUNTEX SOC TRANG VIETNAM CO.LTD,_,-,9.637659,105.949644,Mekong,Delta,443020-VNM.51_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),4.033238421,4,"Extremely High (more than 2 in 1,000)",3.230409341,3,Medium - High (0.6-0.8)
"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II",FINISHED GOODS,0101000020E6100000CD0358E4D77B5A40077C7E1821542440,11,"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II",_,-,10.164315,105.935052,Mekong,Delta,441090-VNM.61_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),4.031216344,4,"Extremely High (more than 2 in 1,000)",3.842421362,3,Medium - High (0.6-0.8)
VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS,0101000020E6100000F7E461A1D6A85A40E2E995B20C912540,12,VIET THINH GARMENT JOINT STOCK COMPANY,_,-,10.7833,106.6381,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"Haivina Co., Ltd.",FINISHED GOODS,0101000020E6100000A1B94E232D935A402159C0046EE13440,13,"Haivina Co., Ltd.",_,-,20.880585,106.29963,Hong (Red River),Cau,436709-VNM.22_1-1882,1.431227899,1,Low - Medium (10-20%),0.765869105,0,Low (<5%),4.115968585,4,"Extremely High (more than 2 in 1,000)",3.732877828,3,Medium - High (0.6-0.8)
"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",FINISHED GOODS,0101000020E6100000D575A8A624DB5A4009FF2268CC8C2640,14,"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",_,-,11.274997,107.424112,"Viet Nam, Coast",Lagna Da Rgna,441060-VNM.17_1-1626,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"FASHION GARMENTS 2 CO., LTD",FINISHED GOODS,0101000020E6100000CC457C2766B95A400FD6FF39CCE72540,15,"FASHION GARMENTS 2 CO., LTD",_,-,10.95273,106.89686,"Viet Nam, Coast",Song Be Delta,441060-VNM.17_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"YKK VIETNAM CO., LTD",MATERIALS,0101000020E61000007EFE7BF0DAAE5A40F31C91EF52822540,16,"YKK VIETNAM CO., LTD",_,-,10.754539,106.732113,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"Pro Kingtex Vietnam Co., Ltd",FINISHED GOODS,0101000020E6100000F29881CAF8A55A401F115322897E2540,17,"Pro Kingtex Vietnam Co., Ltd",_,-,10.74714,106.59331,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2,FINISHED GOODS,0101000020E61000004165FCFB8CB95A40514EB4AB90E22540,18,TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2,_,-,10.94251,106.89923,"Viet Nam, Coast",Song Be Delta,441060-VNM.17_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
TKG ECO MATERIAL SYNTHETIC (VIETNAM),MATERIALS,0101000020E61000004F029B73F0955A409C8713984E432640,19,TKG ECO MATERIAL SYNTHETIC (VIETNAM),_,-,11.131459,106.342801,"Viet Nam, Coast",Saigon,441080-VNM.53_1-2021,4.452659764,4,Extremely High (>80%),2.513910154,2,Medium - High (25-50%),2.561941643,2,"Medium - High (7 in 100,000 to 3 in 10,000)",3.371990261,3,Medium - High (0.6-0.8)
"LI CHENG ENTERPRISE VIET NAM CO., LTD",FINISHED GOODS - COMPONENTS,0101000020E6100000CDCCCCCCCCBC5A406666666666662540,20,"LI CHENG ENTERPRISE VIET NAM CO., LTD",_,-,10.7,106.95,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.17_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
SAMBU FINE CHEMICAL CO LTD (VIETNAM),FINISHED GOODS - COMPONENTS,0101000020E6100000EB07D04AB5185B400DD242B8B8742F40,21,SAMBU FINE CHEMICAL CO LTD (VIETNAM),_,-,15.7279718,108.3860652,"Viet Nam, Coast",Buong,441055-VNM.47_1-1882,3.091303255,3,High (40-80%),1.413338034,1,Low - Medium (5-25%),2.197614649,2,"Medium - High (7 in 100,000 to 3 in 10,000)",2.315745285,2,Medium (0.4-0.6)
Regent Garment Factory Limited - Business location- Regent 2,FINISHED GOODS,0101000020E610000009C1AA7AF9975A40EBC891CEC0F83440,22,Regent Garment Factory Limited - Business location- Regent 2,_,-,20.971692,106.374602,Hong (Red River),Cau,436707-VNM.22_1-1882,1.888423765,1,Low - Medium (10-20%),1.025047202,1,Low - Medium (5-25%),4.014458347,4,"Extremely High (more than 2 in 1,000)",2.543822176,2,Medium (0.4-0.6)
"JOOWON VINA CO., LTD.",MATERIALS,0101000020E61000007BFA08FCE1BA5A40A3923A014D7C2540,23,"JOOWON VINA CO., LTD.",_,-,10.742775,106.920043,"Viet Nam, Coast",Song Be Delta,441060-VNM.17_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
ADORA FOOTWEAR LIMITED,FINISHED GOODS,0101000020E6100000647616BD53785A400F0BB5A679273440,24,ADORA FOOTWEAR LIMITED,_,-,20.1542,105.880111,Hong (Red River),Delta,436900-VNM.42_1-1626,1.431227899,1,Low - Medium (10-20%),0.765869105,0,Low (<5%),4.040222523,4,"Extremely High (more than 2 in 1,000)",3.469697061,3,Medium - High (0.6-0.8)
TNG Investment and Trading JSC - Dai Tu Garment Branch,FINISHED GOODS,0101000020E6100000A01518B2BA755A40E674594C6C963540,25,TNG Investment and Trading JSC - Dai Tu Garment Branch,_,-,21.58759,105.83952,Hong (Red River),Cau,436708-VNM.56_1-1626,2.805803426,2,Medium - High (20-40%),1.407256582,1,Low - Medium (5-25%),4.010633967,4,"Extremely High (more than 2 in 1,000)",3.189063374,3,Medium - High (0.6-0.8)
WEILINA VIET NAM FOOTWEAR COMPANY LIMITED,FINISHED GOODS,0101000020E610000072158BDF14675A4000A8E2C62DFE3340,26,WEILINA VIET NAM FOOTWEAR COMPANY LIMITED,_,-,19.992886,105.610649,"Viet Nam, Coast",Song Ma,441020-VNM.57_1-1882,2.47731425,2,Medium - High (20-40%),1.163086554,1,Low - Medium (5-25%),3.640691446,3,"High (3 in 10,000 to 2 in 1,000)",2.014489819,2,Medium (0.4-0.6)
SEYANG CORPORATION VIETNAM,FINISHED GOODS,0101000020E6100000F437A11001795A40DB334B02D49C3440,27,SEYANG CORPORATION VIETNAM,_,-,20.61261,105.89069,Hong (Red River),Delta,436900-VNM.28_1-1882,1.431227899,1,Low - Medium (10-20%),0.765869105,0,Low (<5%),4.040222523,4,"Extremely High (more than 2 in 1,000)",3.469697061,3,Medium - High (0.6-0.8)
"All Wells International Co., Ltd.",FINISHED GOODS,0101000020E6100000A088450C3BC75A409CA6CF0EB8362540,28,"All Wells International Co., Ltd.",_,-,10.606873,107.112979,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.7_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
Germton Industrial Company Ltd.,FINISHED GOODS,0101000020E6100000CF31207BBD155B405B99F04BFD8C2F40,29,Germton Industrial Company Ltd.,_,-,15.77537,108.33969,"Viet Nam, Coast",Buong,441054-VNM.47_1-1882,0.844826194,0,Low (<10%),0.47620477,0,Low (<5%),0,0,"Low (0 to 9 in 1,000,000)",2.130262904,2,Medium (0.4-0.6)
Fashion Garments Company Limited,FINISHED GOODS,0101000020E6100000202922C32A1E5B40C5724BAB21412F40,30,Fashion Garments Company Limited,_,-,15.62721,108.47136,"Viet Nam, Coast",Buong,441055-VNM.47_1-1882,3.091303255,3,High (40-80%),1.413338034,1,Low - Medium (5-25%),2.197614649,2,"Medium - High (7 in 100,000 to 3 in 10,000)",2.315745285,2,Medium (0.4-0.6)
Tiong Liong Vietnam (VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED),MATERIALS,0101000020E61000008527F4FA93A65A40682101A3CB832640,31,Tiong Liong Vietnam (VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED),_,-,11.257413,106.602782,"Viet Nam, Coast",Saigon,441060-VNM.9_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,FINISHED GOODS,0101000020E6100000CFF753E3A5835A40EDF5EE8FF7A23440,32,HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,_,-,20.63659,106.057,Hong (Red River),Delta,436810-VNM.31_1-1882,1.431227899,1,Low - Medium (10-20%),0.765869105,0,Low (<5%),4.035185706,4,"Extremely High (more than 2 in 1,000)",3.315876613,3,Medium - High (0.6-0.8)
"Yegin Industry (Vietnam) Co., Ltd",FINISHED GOODS,0101000020E6100000EC34D25279935A40B1C403CAA6EC2440,33,"Yegin Industry (Vietnam) Co., Ltd",_,-,10.46221,106.30428,"Viet Nam, Coast",Saigon,441080-VNM.58_1-2021,4.452659764,4,Extremely High (>80%),2.513910154,2,Medium - High (25-50%),2.561941643,2,"Medium - High (7 in 100,000 to 3 in 10,000)",3.371990261,3,Medium - High (0.6-0.8)
Vietnam Pou Sung Co. Ltd.,FINISHED GOODS,0101000020E6100000F8DEDFA0BD115B40D124B1A4DC1D2C40,34,Vietnam Pou Sung Co. Ltd.,_,-,14.058324,108.277199,"Viet Nam, Coast",Ia Ayun,441058-VNM.21_1-1626,1.019449456,1,Low - Medium (10-20%),0.620524519,0,Low (<5%),1.444160201,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",2.387824962,2,Medium (0.4-0.6)
"E-Top (Vietnam) Co.,Ltd",FINISHED GOODS,0101000020E6100000A4703D0AD7C35A40CDCCCCCCCC4C2540,35,"E-Top (Vietnam) Co.,Ltd",_,-,10.65,107.06,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.7_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
"FREETREND INDUSTRIAL (VIETNAM) CO., LTD",FINISHED GOODS,0101000020E6100000C74B378941B05A40DE718A8EE4B22540,36,"FREETREND INDUSTRIAL (VIETNAM) CO., LTD",_,-,10.8494,106.754,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"DONGJIN TEXTILE VINA Co., Ltd ",MATERIALS,0101000020E6100000F8DEDFA0BD115B40D124B1A4DC1D2C40,37,"DONGJIN TEXTILE VINA Co., Ltd ",_,-,14.058324,108.277199,"Viet Nam, Coast",Ia Ayun,441058-VNM.21_1-1626,1.019449456,1,Low - Medium (10-20%),0.620524519,0,Low (<5%),1.444160201,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",2.387824962,2,Medium (0.4-0.6)
PAIHO (VIETNAM),MATERIALS,0101000020E6100000AE47E17A14A65A4023DBF97E6A7C2540,38,PAIHO (VIETNAM),_,-,10.743,106.595,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
BAIKSAN (VIETNAM),MATERIALS,0101000020E61000006B813D2652AB5A406E68CA4E3F282640,39,BAIKSAN (VIETNAM),_,-,11.078608,106.676889,"Viet Nam, Coast",Song Be Delta,441060-VNM.9_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"FORMOSA TAFFETA DONG NAI CO., LTD.",MATERIALS,0101000020E6100000C87A6AF5D5BA5A400188BB7A15712540,40,"FORMOSA TAFFETA DONG NAI CO., LTD.",_,-,10.720867,106.919309,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.17_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED,FINISHED GOODS,0101000020E6100000575BB1BFEC8A5A4062A1D634EF282440,41,BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED,_,-,10.07995,106.1707,Mekong,Delta,441090-VNM.61_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),4.031216344,4,"Extremely High (more than 2 in 1,000)",3.842421362,3,Medium - High (0.6-0.8)
"DONG SHIN VINA CO.,LTD",FINISHED GOODS,0101000020E6100000734BAB2171BF5A40B16EBC3B32CE2540,42,"DONG SHIN VINA CO.,LTD",_,-,10.902727,106.99128,"Viet Nam, Coast",Song Be Delta,441060-VNM.17_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"VINH LONG FOOTWEAR CO., LTD.",FINISHED GOODS,0101000020E6100000991249F4327C5A406EDDCD531D522440,43,"VINH LONG FOOTWEAR CO., LTD.",_,-,10.16038,105.94061,Mekong,Delta,441090-VNM.61_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),4.031216344,4,"Extremely High (more than 2 in 1,000)",3.842421362,3,Medium - High (0.6-0.8)
CONG TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,0101000020E61000004963B48EAAAA5A4040D9942BBCBB2440,44,CONG TIEN GARMENT JOINT STOCK COMPANY,_,-,10.36667,106.66666,Mekong,Delta,441090-VNM.58_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),4.031216344,4,"Extremely High (more than 2 in 1,000)",3.842421362,3,Medium - High (0.6-0.8)
"Fashion Garments 2 Co., Ltd - Xuan Tay",FINISHED GOODS,0101000020E6100000AC8BDB6800D75A4038BEF6CC92A02540,45,"Fashion Garments 2 Co., Ltd - Xuan Tay",_,-,10.81362,107.3594,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.17_1-1626,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
"Vung Tau Orient Co., Ltd - unit 02",FINISHED GOODS,0101000020E6100000DEB06D5166CB5A402783A3E4D5292540,46,"Vung Tau Orient Co., Ltd - unit 02",_,-,10.58171,107.17812,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.7_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,FINISHED GOODS,0101000020E61000009B5AB6D617A15A40F86BB2463D242540,47,Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,_,-,10.57078,106.51708,"Viet Nam, Coast",Saigon,441080-VNM.39_1-2021,4.452659764,4,Extremely High (>80%),2.513910154,2,Medium - High (25-50%),2.561941643,2,"Medium - High (7 in 100,000 to 3 in 10,000)",3.371990261,3,Medium - High (0.6-0.8)
"Worldon Vietnam Co., Ltd.",FINISHED GOODS,0101000020E61000003997E2AAB2A75A4001309E4143EF2540,48,"Worldon Vietnam Co., Ltd.",_,-,10.96731,106.62028,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
"Thuan Phuong Embroideries Garments Co., Ltd.",FINISHED GOODS,0101000020E610000089981249F4AA5A40AF94658863AD2540,49,"Thuan Phuong Embroideries Garments Co., Ltd.",_,-,10.83865,106.67116,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
NV Apparel Company Limited,FINISHED GOODS,0101000020E6100000C47C7901F6555A407E350708E6E82440,50,NV Apparel Company Limited,_,-,10.45488,105.34314,Mekong,Delta,442100-VNM.1_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),1.808037565,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",3.859483479,3,Medium - High (0.6-0.8)
"ECLAT FABRIC CO., LTD.",MATERIALS,0101000020E6100000DCBA9BA73AC25A4019FF3EE3C2412540,51,"ECLAT FABRIC CO., LTD.",_,-,10.62844,107.03483,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.7_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
